Account Statement - (@test-user) ,,,,,,,,,,,,,,,,,,,,,
Account Activity,,,,,,,,,,,,,,,,,,,,,
,ID,Datetime,Type,Status,Note,From,To,Amount (total),Amount (tip),Amount (tax),Amount (fee),Tax Rate,Tax Exempt,Funding Source,Destination,Beginning Balance,Ending Balance,Statement Period Venmo Fees,Terminal Location,Year to Date Venmo Fees,Disclaimer
,,,,,,,,,,,,,,,,$25.00,,,,,
,2000000000000000001,2025-01-01T09:00:00,Payment,Complete,rent,Test User,Person One,- $600.00,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000003,2025-01-15T09:49:18,Payment,Complete,groceries,Test User,Person Three,- $21.54,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000005,2025-01-28T07:00:00,Standard Transfer,Issued,,,,- $39.03,,,,,,TEST BANK *0000,,,,,Venmo,,
,2000000000000000004,2025-01-29T09:14:49,Charge,Complete,dinner,Test User,Person Two,+ $65.83,,0,,0,,,,,,,Venmo,,
,2000000000000000002,2025-01-31T10:40:31,Payment,Complete,shared bill,Test User,Person Three,- $36.86,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000006,2025-02-01T09:00:00,Payment,Complete,rent,Test User,Person One,- $600.00,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000007,2025-02-02T17:10:45,Payment,Complete,shared bill,Test User,Person Three,- $31.88,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000008,2025-02-13T10:31:20,Payment,Complete,groceries,Test User,Person Four,- $34.68,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000009,2025-02-23T15:46:18,Charge,Complete,dinner,Test User,Person Two,+ $39.92,,0,,0,,,,,,,Venmo,,
,2000000000000000010,2025-02-28T07:00:00,Standard Transfer,Issued,,,,- $12.91,,,,,,TEST BANK *0000,,,,,Venmo,,
,2000000000000000011,2025-03-01T09:00:00,Payment,Complete,rent,Test User,Person One,- $600.00,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000012,2025-03-01T08:13:46,Payment,Complete,shared bill,Test User,Person Two,- $23.39,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000014,2025-03-02T11:40:16,Charge,Complete,dinner,Test User,Person Four,+ $62.22,,0,,0,,,,,,,Venmo,,
,2000000000000000013,2025-03-13T19:11:02,Payment,Complete,groceries,Test User,Person Two,- $35.67,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000015,2025-03-28T07:00:00,Standard Transfer,Issued,,,,- $14.98,,,,,,TEST BANK *0000,,,,,Venmo,,
,2000000000000000016,2025-04-01T09:00:00,Payment,Complete,rent,Test User,Person One,- $600.00,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000017,2025-04-01T17:56:12,Payment,Complete,groceries,Test User,Person Two,- $29.05,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000018,2025-04-05T16:08:33,Payment,Complete,groceries,Test User,Person Four,- $27.39,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000019,2025-04-12T10:12:49,Charge,Complete,dinner,Test User,Person Four,+ $29.47,,0,,0,,,,,,,Venmo,,
,2000000000000000020,2025-04-26T10:00:00,Payment,Cancelled,oops,Test User,Person Three,- $5.00,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000021,2025-04-28T07:00:00,Standard Transfer,Issued,,,,- $29.95,,,,,,TEST BANK *0000,,,,,Venmo,,
,2000000000000000022,2025-05-01T09:00:00,Payment,Complete,rent,Test User,Person One,- $600.00,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000023,2025-05-22T08:19:17,Payment,Complete,groceries,Test User,Person Two,- $23.52,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000025,2025-05-25T14:34:35,Charge,Complete,dinner,Test User,Person Two,+ $46.23,,0,,0,,,,,,,Venmo,,
,2000000000000000026,2025-05-28T07:00:00,Standard Transfer,Issued,,,,- $15.29,,,,,,TEST BANK *0000,,,,,Venmo,,
,2000000000000000024,2025-05-31T08:18:48,Payment,Complete,shared bill,Test User,Person Four,- $37.86,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000027,2025-06-01T09:00:00,Payment,Complete,rent,Test User,Person One,- $600.00,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000030,2025-06-07T14:36:16,Charge,Complete,dinner,Test User,Person One,+ $29.06,,0,,0,,,,,,,Venmo,,
,2000000000000000029,2025-06-11T12:49:00,Payment,Complete,groceries,Test User,Person Three,- $21.36,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000028,2025-06-15T09:23:10,Payment,Complete,gas,Test User,Person Two,- $15.26,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000031,2025-06-28T07:00:00,Standard Transfer,Issued,,,,- $24.94,,,,,,TEST BANK *0000,,,,,Venmo,,
,2000000000000000032,2025-07-01T09:00:00,Payment,Complete,rent,Test User,Person One,- $600.00,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000033,2025-07-13T10:39:52,Payment,Complete,shared bill,Test User,Person One,- $19.82,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000034,2025-07-22T17:17:08,Payment,Complete,gas,Test User,Person Four,- $15.67,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000035,2025-07-22T20:55:49,Charge,Complete,dinner,Test User,Person One,+ $26.16,,0,,0,,,,,,,Venmo,,
,2000000000000000036,2025-07-28T07:00:00,Standard Transfer,Issued,,,,- $36.78,,,,,,TEST BANK *0000,,,,,Venmo,,
,2000000000000000037,2025-08-01T09:00:00,Payment,Complete,rent,Test User,Person One,- $600.00,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000039,2025-08-01T15:01:58,Payment,Complete,groceries,Test User,Person Two,- $18.35,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000041,2025-08-21T10:00:00,Payment,Cancelled,oops,Test User,Person One,- $5.00,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000038,2025-08-28T11:13:17,Payment,Complete,groceries,Test User,Person One,- $25.60,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000040,2025-08-28T18:57:37,Charge,Complete,dinner,Test User,Person One,+ $44.04,,0,,0,,,,,,,Venmo,,
,2000000000000000042,2025-08-28T07:00:00,Standard Transfer,Issued,,,,- $39.31,,,,,,TEST BANK *0000,,,,,Venmo,,
,2000000000000000043,2025-09-01T09:00:00,Payment,Complete,rent,Test User,Person One,- $600.00,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000045,2025-09-08T17:01:55,Payment,Complete,shared bill,Test User,Person Three,- $36.28,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000044,2025-09-10T16:53:25,Payment,Complete,gas,Test User,Person One,- $39.44,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000046,2025-09-21T19:37:54,Charge,Complete,dinner,Test User,Person Four,+ $68.92,,0,,0,,,,,,,Venmo,,
,2000000000000000047,2025-09-28T07:00:00,Standard Transfer,Issued,,,,- $16.69,,,,,,TEST BANK *0000,,,,,Venmo,,
,2000000000000000048,2025-10-01T09:00:00,Payment,Complete,rent,Test User,Person One,- $600.00,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000049,2025-10-02T19:02:52,Payment,Complete,gas,Test User,Person One,- $31.75,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000050,2025-10-03T11:00:31,Payment,Complete,shared bill,Test User,Person Two,- $20.25,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000051,2025-10-19T14:20:59,Charge,Complete,dinner,Test User,Person Four,+ $56.59,,0,,0,,,,,,,Venmo,,
,2000000000000000052,2025-10-28T07:00:00,Standard Transfer,Issued,,,,- $33.48,,,,,,TEST BANK *0000,,,,,Venmo,,
,2000000000000000053,2025-11-01T09:00:00,Payment,Complete,rent,Test User,Person One,- $600.00,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000054,2025-11-20T15:36:06,Payment,Complete,groceries,Test User,Person Three,- $18.08,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000057,2025-11-28T07:00:00,Standard Transfer,Issued,,,,- $34.71,,,,,,TEST BANK *0000,,,,,Venmo,,
,2000000000000000056,2025-11-29T09:03:49,Charge,Complete,dinner,Test User,Person Three,+ $24.58,,0,,0,,,,,,,Venmo,,
,2000000000000000055,2025-11-30T12:47:33,Payment,Complete,groceries,Test User,Person Two,- $21.25,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000058,2025-12-01T09:00:00,Payment,Complete,rent,Test User,Person One,- $600.00,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000059,2025-12-10T19:01:49,Payment,Complete,shared bill,Test User,Person One,- $20.83,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
,2000000000000000061,2025-12-12T08:02:56,Charge,Complete,dinner,Test User,Person Three,+ $56.50,,0,,0,,,,,,,Venmo,,
,2000000000000000060,2025-12-26T20:16:44,Payment,Complete,shared bill,Test User,Person Two,- $30.43,,0,,0,,TEST BANK Checking *0000,,,,,Venmo,,
